id,party,list_pos,electorate,name
148,Green Party,7,Kelston,"GHAHRAMAN, Golriz"
473,Republic of New Zealand Party,,Hamilton East,"GIELEN, Jacobus"
175,Green Party,34,Rangitata,"GILCHRIST, Barbara"
257,Leighton Baker Party,2,Bay of Plenty,"GILLESPIE, Wendy"
263,National Party,5,Epsom,"GOLDSMITH, Paul"
488,NAP,,Mana,"GOODE, Richard"
71,Animal Justice Party,11,Wellington Central,"GORDON, Christopher"
517,New Zealand Loyal,,Palmerston North,"GRANT, Dean"
74,Animal Justice Party,14,Bay of Plenty,"GRATTAN, Caitlin"
433,The Opportunities Party (TOP),10,North Shore,"GRAY, Abe"
176,Green Party,35,Coromandel,"GREALEY, Pamela"
392,NewZeal,11,,"GREAVES, Marlene Angilene"
578,,,Whangārei,"GREEN, Fiona"
483,New Conservatives,,Kaikōura,"GREENSLADE, David"
108,Freedoms NZ,2,West Coast-Tasman,"GREY, Sue"
28,ACT New Zealand,29,Kaikōura,"GRIFFITHS, Keith"
277,National Party,19,Selwyn,"GRIGG, Nicola"
89,Aotearoa Legalise Cannabis Party,12,Southland,"GRUMBALL, Anntwinette"
439,Women’s Rights Party,3,,"GUILLILAND, Karen"
379,New Zealand Loyal,1,,"GUNN, Liz"
218,Labour Party,28,Northcote,"HALBERT, Shanan"
474,National Party,,Hamilton East,"HAMILTON, Ryan"
429,The Opportunities Party (TOP),6,Ōhāriu,"HAMMOND, Jessica"
231,Labour Party,41,North Shore,"HAMPTON, George"
64,Animal Justice Party,4,Pakuranga,"HANCOCK, Nicholas"
177,Green Party,36,Waitaki,"HANSEN, Pleasance"
579,Economic Euthenics,,Wigram,"HANSEN, Tubby"
416,Te Pāti Māori,24,Kelston,"HAREMA, Jacqui"
44,ACT New Zealand,45,Palmerston North,"HARNETT, Mike"
14,ACT New Zealand,15,Selwyn,"HARVEY, Ben"
353,New Zealand First Party,10,Tauranga,"HARVEY, Erika"
130,Freedoms NZ,24,Papakura,"HARVEY, Kathy"
204,Labour Party,14,Tāmaki Makaurau,"HENARE, Peeni"
251,Labour Party,61,Pakuranga,"HENRY, Nerissa"
78,Aotearoa Legalise Cannabis Party,1,Te Tai Tokerau,"HERBERT, Maki"
158,Green Party,17,Dunedin,"HERNANDEZ, Francisco"
289,National Party,31,Te Tai Hauāuru,"HIPANGO, Harete"
191,Labour Party,1,Remutaka,"HIPKINS, Chris"
